dimension,regime,trades,gross_pnl,total_cost,net_pnl,mean_net,median_net,win_rate,turnover,average_lots,worst_trade
split,confirmation_2025_2026,42,31579.75000000002,27662.517773338346,3917.232226661671,93.26743396813502,95.30739111763896,0.5476190476190477,5599676.706288192,3.6904761904761907,-6951.712230041248
split,discovery_2021_2023,72,60103.74999999997,49994.823798609505,10108.92620139047,140.40175279708987,629.8289408944895,0.5833333333333334,7672244.826580589,5.097222222222222,-3522.936198868706
split,validation_2024,18,9593.750000000005,15923.83035043491,-6330.080350434906,-351.671130579717,-892.7944210382811,0.3333333333333333,3510684.5069627035,9.38888888888889,-4385.210262899793
year,2021,21,18311.249999999993,9474.846105288047,8836.40389471195,420.78113784342617,827.5455224905522,0.6190476190476191,968628.7020589119,3.761904761904762,-3476.6531035893217
year,2022,31,23544.999999999993,33035.57018839861,-9490.570188398615,-306.14742543221337,-1071.583983485507,0.45161290322580644,5766868.310433251,6.580645161290323,-3346.856341249063
year,2023,20,18247.499999999985,7484.407504922845,10763.092495077137,538.1546247538569,1019.3175686742981,0.75,936747.814088426,4.2,-3522.936198868706
year,2024,18,9593.750000000005,15923.83035043491,-6330.080350434906,-351.671130579717,-892.7944210382811,0.3333333333333333,3510684.5069627035,9.38888888888889,-4385.210262899793
year,2025,29,21690.00000000002,17004.674683645546,4685.325316354478,161.56294194325784,66.26615237854475,0.5517241379310345,3395340.584088433,3.206896551724138,-6951.712230041248
year,2026,13,9889.75,10657.843089692802,-768.0930896928029,-59.0840838225233,124.34862985673317,0.5384615384615384,2204336.1221997594,4.769230769230769,-2232.4365848214734
iv_regime,low_iv,56,52276.750000000015,27171.360302507586,25105.389697492436,448.3105303123649,524.6754627520439,0.625,4501987.403972811,4.571428571428571,-3522.936198868706
iv_regime,mid_iv,38,27487.999999999993,27737.59833210832,-249.5983321083346,-6.568377160745648,-285.21199354951784,0.47368421052631576,5456407.530502423,4.842105263157895,-2668.801444783505
iv_regime,high_iv,38,21512.49999999998,38672.213287766834,-17159.71328776687,-451.5714023096545,-1327.6058368462284,0.47368421052631576,6824211.105356251,6.605263157894737,-6951.712230041248
rv_regime,low_rv,40,34323.000000000015,15629.06727296276,18693.93272703726,467.34831817593147,853.3619387970869,0.675,2025626.9033184675,3.925,-3522.936198868706
rv_regime,mid_rv,48,39849.99999999999,34554.7598345762,5295.240165423791,110.31750344632898,95.30739111763896,0.5208333333333334,6686548.990821887,5.125,-3168.1529777146716
rv_regime,high_rv,44,27104.24999999998,43397.3448148438,-16293.094814843813,-370.29760942826846,-1064.8154147171847,0.4318181818181818,8070430.14569113,6.545454545454546,-6951.712230041248
dte_regime,low_dte,46,41982.5,16138.434598291577,25844.06540170842,561.8275087327918,662.1593392697771,0.6739130434782609,1634802.190130353,3.9565217391304346,-4385.210262899793
dte_regime,mid_dte,44,37126.99999999997,43184.272581790974,-6057.272581791003,-137.66528594979553,-908.7566694357924,0.4318181818181818,9001434.794369267,6.409090909090909,-3641.1994629337833
dte_regime,high_dte,42,22167.750000000022,34258.4647423002,-12090.714742300182,-287.8741605309567,40.82337555053826,0.5,6146369.055331863,5.404761904761905,-6951.712230041248
gate_cushion_regime,thin_cushion,39,15438.500000000005,48254.966246433774,-32816.46624643376,-841.4478524726605,-1071.583983485507,0.3076923076923077,9941042.948873878,6.666666666666667,-3641.1994629337833
gate_cushion_regime,mid_cushion,47,29746.49999999999,27468.648088469636,2277.85191153035,48.46493428787979,281.688634736326,0.6170212765957447,4588072.105568157,4.829787234042553,-6951.712230041248
gate_cushion_regime,wide_cushion,46,56092.25,17857.557587479347,38234.69241252066,831.1889654895795,1256.100781124813,0.6521739130434783,2253490.9853894506,4.434782608695652,-4385.210262899793
vrp_tail_regime,q85_q90,131,98194.74999999997,93182.62509705502,5012.124902944972,38.26049544232803,200.55122390180333,0.5343511450381679,16723718.273629762,5.251908396946565,-6951.712230041248
vrp_tail_regime,q90_q95,1,3082.5000000000014,398.546825327736,2683.9531746722655,2683.9531746722655,2683.9531746722655,1.0,58887.7662017206,3.0,2683.9531746722655
entry_time_regime,before_1100,20,22100.000000000007,16926.696878830237,5173.30312116977,258.6651560584885,95.30739111763896,0.55,3475937.0360152815,6.55,-3641.1994629337833
entry_time_regime,1100_1300,71,33377.249999999985,54338.590891503765,-20961.340891503773,-295.23015340146156,51.70656085335628,0.5070422535211268,9676676.059860261,5.183098591549296,-6951.712230041248
entry_time_regime,after_1300,41,45800.0,22315.884152048762,23484.11584795124,572.7833133646644,601.982567264989,0.5853658536585366,3629992.9439559435,4.682926829268292,-3522.936198868706
spot_trend_regime,down_10bp_plus,30,4973.749999999992,20264.200111596267,-15290.450111596274,-509.68167038654246,-1093.271201211437,0.43333333333333335,3413886.34305682,5.566666666666666,-6951.712230041248
spot_trend_regime,inside_10bp,84,65398.5,63890.439859372724,1508.060140627284,17.953096912229572,166.16220371061107,0.5476190476190477,11937605.678843748,5.190476190476191,-3641.1994629337833
spot_trend_regime,up_10bp_plus,18,30904.999999999993,9426.531951413766,21478.46804858623,1193.2482249214572,1373.979822265586,0.6666666666666666,1431114.0179309158,4.888888888888889,-3749.978244597129
iv_rv_relation,iv_ge_rv,131,102852.24999999999,93164.86960724191,9687.38039275808,73.94946864700825,241.74660945142767,0.5419847328244275,16707758.990755824,5.244274809160306,-6951.712230041248
iv_rv_relation,iv_lt_rv,1,-1575.0000000000002,416.3023151408406,-1991.3023151408408,-1991.3023151408408,-1991.3023151408408,0.0,74847.04907565974,4.0,-1991.3023151408408
span_time_slot,BOD,20,22100.000000000007,16926.696878830237,5173.30312116977,258.6651560584885,95.30739111763896,0.55,3475937.0360152815,6.55,-3641.1994629337833
span_time_slot,ID1,47,5623.999999999994,42463.02742538978,-36839.02742538978,-783.8090941572294,-897.0934312536697,0.40425531914893614,7784396.412117775,5.8936170212765955,-6951.712230041248
span_time_slot,ID2,59,56006.99999999997,30812.797626268017,25194.20237373197,427.0203792157961,821.6348356974984,0.6440677966101694,4900320.352531311,4.271186440677966,-3522.936198868706
span_time_slot,ID3,6,17546.250000000007,3378.649991894728,14167.600008105279,2361.2666680175466,1548.7416888550963,0.5,621952.2391671177,5.166666666666667,-996.3457994266888
